SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"4 ROWAN WAY, EXETER, EX4 2DR",,,4,ROWAN WAY,,EXETER
"5 ROWAN WAY, EXETER, EX4 2DR",,,5,ROWAN WAY,,EXETER
"6 ROWAN WAY, EXETER, EX4 2DR",,,6,ROWAN WAY,,EXETER
"7 ROWAN WAY, EXETER, EX4 2DR",,,7,ROWAN WAY,,EXETER
"8 ROWAN WAY, EXETER, EX4 2DR",,,8,ROWAN WAY,,EXETER
"9 ROWAN WAY, EXETER, EX4 2DR",,,9,ROWAN WAY,,EXETER
"10 ROWAN WAY, EXETER, EX4 2DR",,,10,ROWAN WAY,,EXETER
"11 ROWAN WAY, EXETER, EX4 2DR",,,11,ROWAN WAY,,EXETER
"12 ROWAN WAY, EXETER, EX4 2DR",,,12,ROWAN WAY,,EXETER
"13 ROWAN WAY, EXETER, EX4 2DS",,,13,ROWAN WAY,,EXETER
"14 ROWAN WAY, EXETER, EX4 2DR",,,14,ROWAN WAY,,EXETER
"15 ROWAN WAY, EXETER, EX4 2DS",,,15,ROWAN WAY,,EXETER
"16 ROWAN WAY, EXETER, EX4 2DR",,,16,ROWAN WAY,,EXETER
"17 ROWAN WAY, EXETER, EX4 2DT",,,17,ROWAN WAY,,EXETER
"18 ROWAN WAY, EXETER, EX4 2DR",,,18,ROWAN WAY,,EXETER
"19 ROWAN WAY, EXETER, EX4 2DT",,,19,ROWAN WAY,,EXETER
"20 ROWAN WAY, EXETER, EX4 2DR",,,20,ROWAN WAY,,EXETER
"21 ROWAN WAY, EXETER, EX4 2DT",,,21,ROWAN WAY,,EXETER
"22 ROWAN WAY, EXETER, EX4 2DR",,,22,ROWAN WAY,,EXETER
"23 ROWAN WAY, EXETER, EX4 2DT",,,23,ROWAN WAY,,EXETER
"24 ROWAN WAY, EXETER, EX4 2DR",,,24,ROWAN WAY,,EXETER
"25 ROWAN WAY, EXETER, EX4 2DT",,,25,ROWAN WAY,,EXETER
"26 ROWAN WAY, EXETER, EX4 2DR",,,26,ROWAN WAY,,EXETER
"27 ROWAN WAY, EXETER, EX4 2DT",,,27,ROWAN WAY,,EXETER
"28 ROWAN WAY, EXETER, EX4 2DS",,,28,ROWAN WAY,,EXETER
"29 ROWAN WAY, EXETER, EX4 2DT",,,29,ROWAN WAY,,EXETER
"30 ROWAN WAY, EXETER, EX4 2DS",,,30,ROWAN WAY,,EXETER
"31 ROWAN WAY, EXETER, EX4 2DT",,,31,ROWAN WAY,,EXETER
"32 ROWAN WAY, EXETER, EX4 2DS",,,32,ROWAN WAY,,EXETER
"33 ROWAN WAY, EXETER, EX4 2DT",,,33,ROWAN WAY,,EXETER
"34 ROWAN WAY, EXETER, EX4 2DS",,,34,ROWAN WAY,,EXETER
"35 ROWAN WAY, EXETER, EX4 2DT",,,35,ROWAN WAY,,EXETER
"36 ROWAN WAY, EXETER, EX4 2DS",,,36,ROWAN WAY,,EXETER
"37 ROWAN WAY, EXETER, EX4 2DT",,,37,ROWAN WAY,,EXETER
"38 ROWAN WAY, EXETER, EX4 2DS",,,38,ROWAN WAY,,EXETER
"40 ROWAN WAY, EXETER, EX4 2DT",,,40,ROWAN WAY,,EXETER
"42 ROWAN WAY, EXETER, EX4 2DT",,,42,ROWAN WAY,,EXETER
"44 ROWAN WAY, EXETER, EX4 2DT",,,44,ROWAN WAY,,EXETER
"46 ROWAN WAY, EXETER, EX4 2DT",,,46,ROWAN WAY,,EXETER
"48 ROWAN WAY, EXETER, EX4 2DT",,,48,ROWAN WAY,,EXETER
"50 ROWAN WAY, EXETER, EX4 2DT",,,50,ROWAN WAY,,EXETER
"52 ROWAN WAY, EXETER, EX4 2DT",,,52,ROWAN WAY,,EXETER
"54 ROWAN WAY, EXETER, EX4 2DT",,,54,ROWAN WAY,,EXETER
"56 ROWAN WAY, EXETER, EX4 2DT",,,56,ROWAN WAY,,EXETER
"58 ROWAN WAY, EXETER, EX4 2DT",,,58,ROWAN WAY,,EXETER
"60 ROWAN WAY, EXETER, EX4 2DT",,,60,ROWAN WAY,,EXETER
"62 ROWAN WAY, EXETER, EX4 2DT",,,62,ROWAN WAY,,EXETER
"64 ROWAN WAY, EXETER, EX4 2DT",,,64,ROWAN WAY,,EXETER
"66 ROWAN WAY, EXETER, EX4 2DT",,,66,ROWAN WAY,,EXETER
"68 ROWAN WAY, EXETER, EX4 2DT",,,68,ROWAN WAY,,EXETER
"70 ROWAN WAY, EXETER, EX4 2DT",,,70,ROWAN WAY,,EXETER
"72 ROWAN WAY, EXETER, EX4 2DT",,,72,ROWAN WAY,,EXETER
"74 ROWAN WAY, EXETER, EX4 2DT",,,74,ROWAN WAY,,EXETER
"76 ROWAN WAY, EXETER, EX4 2DT",,,76,ROWAN WAY,,EXETER
"78 ROWAN WAY, EXETER, EX4 2DT",,,78,ROWAN WAY,,EXETER
"19 SAINT HILL CLOSE, EXETER, EX2 9JE",,,19,SAINT HILL CLOSE,,EXETER
"21 SAINT HILL CLOSE, EXETER, EX2 9JE",,,21,SAINT HILL CLOSE,,EXETER
"23 SAINT HILL CLOSE, EXETER, EX2 9JE",,,23,SAINT HILL CLOSE,,EXETER
"1A SAVILE ROAD, EXETER, EX4 1PR",,,1A,SAVILE ROAD,,EXETER
"1 SAVILE ROAD, EXETER, EX4 1PR",,,1,SAVILE ROAD,,EXETER
"2 SAVILE ROAD, EXETER, EX4 1PR",,,2,SAVILE ROAD,,EXETER
"3 SAVILE ROAD, EXETER, EX4 1PR",,,3,SAVILE ROAD,,EXETER
"4 SAVILE ROAD, EXETER, EX4 1PR",,,4,SAVILE ROAD,,EXETER
"5 SAVILE ROAD, EXETER, EX4 1PR",,,5,SAVILE ROAD,,EXETER
"6 SAVILE ROAD, EXETER, EX4 1PR",,,6,SAVILE ROAD,,EXETER
"7 SAVILE ROAD, EXETER, EX4 1PR",,,7,SAVILE ROAD,,EXETER
"8 SAVILE ROAD, EXETER, EX4 1PR",,,8,SAVILE ROAD,,EXETER
"9 SAVILE ROAD, EXETER, EX4 1PR",,,9,SAVILE ROAD,,EXETER
"10 SAVILE ROAD, EXETER, EX4 1PR",,,10,SAVILE ROAD,,EXETER
"11 SAVILE ROAD, EXETER, EX4 1PR",,,11,SAVILE ROAD,,EXETER
"12 SAVILE ROAD, EXETER, EX4 1PR",,,12,SAVILE ROAD,,EXETER
"13 SAVILE ROAD, EXETER, EX4 1PR",,,13,SAVILE ROAD,,EXETER
"14 SAVILE ROAD, EXETER, EX4 1PR",,,14,SAVILE ROAD,,EXETER
"15 SAVILE ROAD, EXETER, EX4 1PR",,,15,SAVILE ROAD,,EXETER
"16 SAVILE ROAD, EXETER, EX4 1PR",,,16,SAVILE ROAD,,EXETER
"17 SAVILE ROAD, EXETER, EX4 1PR",,,17,SAVILE ROAD,,EXETER
"18 SAVILE ROAD, EXETER, EX4 1PR",,,18,SAVILE ROAD,,EXETER
"20 SAVILE ROAD, EXETER, EX4 1PR",,,20,SAVILE ROAD,,EXETER
"8 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,8,SHAFTESBURY ROAD,,EXETER
"9 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,9,SHAFTESBURY ROAD,,EXETER
"10 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,10,SHAFTESBURY ROAD,,EXETER
"11 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,11,SHAFTESBURY ROAD,,EXETER
"12 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,12,SHAFTESBURY ROAD,,EXETER
"13 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,13,SHAFTESBURY ROAD,,EXETER
"14 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,14,SHAFTESBURY ROAD,,EXETER
"15 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,15,SHAFTESBURY ROAD,,EXETER
"16 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,16,SHAFTESBURY ROAD,,EXETER
"17 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,17,SHAFTESBURY ROAD,,EXETER
"18 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,18,SHAFTESBURY ROAD,,EXETER
"19 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,19,SHAFTESBURY ROAD,,EXETER
"20 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,20,SHAFTESBURY ROAD,,EXETER
"21 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,21,SHAFTESBURY ROAD,,EXETER
"22 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,22,SHAFTESBURY ROAD,,EXETER
"23 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,23,SHAFTESBURY ROAD,,EXETER
"24 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,24,SHAFTESBURY ROAD,,EXETER
"25 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,25,SHAFTESBURY ROAD,,EXETER
"26 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,26,SHAFTESBURY ROAD,,EXETER
"27 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,27,SHAFTESBURY ROAD,,EXETER
"28 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,28,SHAFTESBURY ROAD,,EXETER
"29 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,29,SHAFTESBURY ROAD,,EXETER
"30 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,30,SHAFTESBURY ROAD,,EXETER
"31 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,31,SHAFTESBURY ROAD,,EXETER
"32 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,32,SHAFTESBURY ROAD,,EXETER
"33 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,33,SHAFTESBURY ROAD,,EXETER
"34 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,34,SHAFTESBURY ROAD,,EXETER
"35 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,35,SHAFTESBURY ROAD,,EXETER
"36 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,36,SHAFTESBURY ROAD,,EXETER
"37 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,37,SHAFTESBURY ROAD,,EXETER
"38 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,38,SHAFTESBURY ROAD,,EXETER
"39 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,39,SHAFTESBURY ROAD,,EXETER
"40 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,40,SHAFTESBURY ROAD,,EXETER
"41 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,41,SHAFTESBURY ROAD,,EXETER
"42 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,42,SHAFTESBURY ROAD,,EXETER
"43 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,43,SHAFTESBURY ROAD,,EXETER
"44 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,44,SHAFTESBURY ROAD,,EXETER
"45 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,45,SHAFTESBURY ROAD,,EXETER
"46 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,46,SHAFTESBURY ROAD,,EXETER
"47 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,47,SHAFTESBURY ROAD,,EXETER
"48 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,48,SHAFTESBURY ROAD,,EXETER
"49 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,49,SHAFTESBURY ROAD,,EXETER
"50 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,50,SHAFTESBURY ROAD,,EXETER
"51 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,51,SHAFTESBURY ROAD,,EXETER
"52 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,52,SHAFTESBURY ROAD,,EXETER
"53 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,53,SHAFTESBURY ROAD,,EXETER
"54 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,54,SHAFTESBURY ROAD,,EXETER
"56 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,56,SHAFTESBURY ROAD,,EXETER
"58 SHAFTESBURY ROAD, EXETER, EX2 9BR",,,58,SHAFTESBURY ROAD,,EXETER
"1 SIMEY CLOSE, EXETER, EX4 2HZ",,,1,SIMEY CLOSE,,EXETER
"2 SIMEY CLOSE, EXETER, EX4 2HZ",,,2,SIMEY CLOSE,,EXETER
"3 SIMEY CLOSE, EXETER, EX4 2HZ",,,3,SIMEY CLOSE,,EXETER
"4 SIMEY CLOSE, EXETER, EX4 2HZ",,,4,SIMEY CLOSE,,EXETER
"5 SIMEY CLOSE, EXETER, EX4 2HZ",,,5,SIMEY CLOSE,,EXETER
"6 SIMEY CLOSE, EXETER, EX4 2HZ",,,6,SIMEY CLOSE,,EXETER
"7 SIMEY CLOSE, EXETER, EX4 2HZ",,,7,SIMEY CLOSE,,EXETER
"8 SIMEY CLOSE, EXETER, EX4 2HZ",,,8,SIMEY CLOSE,,EXETER
"9 SIMEY CLOSE, EXETER, EX4 2HZ",,,9,SIMEY CLOSE,,EXETER
"10 SIMEY CLOSE, EXETER, EX4 2HZ",,,10,SIMEY CLOSE,,EXETER
"11 SIMEY CLOSE, EXETER, EX4 2HZ",,,11,SIMEY CLOSE,,EXETER
"12 SIMEY CLOSE, EXETER, EX4 2HZ",,,12,SIMEY CLOSE,,EXETER
"13 SIMEY CLOSE, EXETER, EX4 2HZ",,,13,SIMEY CLOSE,,EXETER
"14 SIMEY CLOSE, EXETER, EX4 2HZ",,,14,SIMEY CLOSE,,EXETER
"15 SIMEY CLOSE, EXETER, EX4 2HZ",,,15,SIMEY CLOSE,,EXETER
"16 SIMEY CLOSE, EXETER, EX4 2HZ",,,16,SIMEY CLOSE,,EXETER
"17 SIMEY CLOSE, EXETER, EX4 2HZ",,,17,SIMEY CLOSE,,EXETER
"18 SIMEY CLOSE, EXETER, EX4 2HZ",,,18,SIMEY CLOSE,,EXETER
"19 SIMEY CLOSE, EXETER, EX4 2HZ",,,19,SIMEY CLOSE,,EXETER
"20 SIMEY CLOSE, EXETER, EX4 2HZ",,,20,SIMEY CLOSE,,EXETER
"21 SIMEY CLOSE, EXETER, EX4 2HZ",,,21,SIMEY CLOSE,,EXETER
"22 SIMEY CLOSE, EXETER, EX4 2HZ",,,22,SIMEY CLOSE,,EXETER
"23 SIMEY CLOSE, EXETER, EX4 2HZ",,,23,SIMEY CLOSE,,EXETER
"24 SIMEY CLOSE, EXETER, EX4 2HZ",,,24,SIMEY CLOSE,,EXETER
"25 SIMEY CLOSE, EXETER, EX4 2HZ",,,25,SIMEY CLOSE,,EXETER
"26 SIMEY CLOSE, EXETER, EX4 2HZ",,,26,SIMEY CLOSE,,EXETER
"27 SIMEY CLOSE, EXETER, EX4 2HZ",,,27,SIMEY CLOSE,,EXETER
"28 SIMEY CLOSE, EXETER, EX4 2HZ",,,28,SIMEY CLOSE,,EXETER
"29 SIMEY CLOSE, EXETER, EX4 2HZ",,,29,SIMEY CLOSE,,EXETER
"30 SIMEY CLOSE, EXETER, EX4 2HZ",,,30,SIMEY CLOSE,,EXETER
"31 SIMEY CLOSE, EXETER, EX4 2HZ",,,31,SIMEY CLOSE,,EXETER
"32 SIMEY CLOSE, EXETER, EX4 2HZ",,,32,SIMEY CLOSE,,EXETER
"33 SIMEY CLOSE, EXETER, EX4 2HZ",,,33,SIMEY CLOSE,,EXETER
"34 SIMEY CLOSE, EXETER, EX4 2HZ",,,34,SIMEY CLOSE,,EXETER
"1 SOLAR CRESCENT, EXETER, EX4 1PD",,,1,SOLAR CRESCENT,,EXETER
"2 SOLAR CRESCENT, EXETER, EX4 1PD",,,2,SOLAR CRESCENT,,EXETER
"2 ST ANDREWS ROAD, EXETER, EX4 2AA",,,2,ST ANDREWS ROAD,,EXETER
"3 ST ANDREWS ROAD, EXETER, EX4 2AA",,,3,ST ANDREWS ROAD,,EXETER
"4 ST ANDREWS ROAD, EXETER, EX4 2AA",,,4,ST ANDREWS ROAD,,EXETER
"5 ST ANDREWS ROAD, EXETER, EX4 2AA",,,5,ST ANDREWS ROAD,,EXETER
"6 ST ANDREWS ROAD, EXETER, EX4 2AA",,,6,ST ANDREWS ROAD,,EXETER
"7 ST ANDREWS ROAD, EXETER, EX4 2AA",,,7,ST ANDREWS ROAD,,EXETER
"9 ST ANDREWS ROAD, EXETER, EX4 2AA",,,9,ST ANDREWS ROAD,,EXETER
"11 ST ANDREWS ROAD, EXETER, EX4 2AA",,,11,ST ANDREWS ROAD,,EXETER
"13 ST ANDREWS ROAD, EXETER, EX4 2AA",,,13,ST ANDREWS ROAD,,EXETER
"15 ST ANDREWS ROAD, EXETER, EX4 2AA",,,15,ST ANDREWS ROAD,,EXETER
"17 ST ANDREWS ROAD, EXETER, EX4 2AA",,,17,ST ANDREWS ROAD,,EXETER
"18 ST ANDREWS ROAD, EXETER, EX4 2AF",,,18,ST ANDREWS ROAD,,EXETER
"19 ST ANDREWS ROAD, EXETER, EX4 2AA",,,19,ST ANDREWS ROAD,,EXETER
"20 ST ANDREWS ROAD, EXETER, EX4 2AF",,,20,ST ANDREWS ROAD,,EXETER
"22 ST ANDREWS ROAD, EXETER, EX4 2AF",,,22,ST ANDREWS ROAD,,EXETER
"FLAT, THE COACH HOUSE, 1 ST ANDREWS ROAD, EXETER, EX4 2AA",FLAT,THE COACH HOUSE,1,ST ANDREWS ROAD,,EXETER
"1 STAFFORD ROAD, EXETER, EX4 1EX",,,1,STAFFORD ROAD,,EXETER
"2 STAFFORD ROAD, EXETER, EX4 1EX",,,2,STAFFORD ROAD,,EXETER
"3 STAFFORD ROAD, EXETER, EX4 1EX",,,3,STAFFORD ROAD,,EXETER
"4 STAFFORD ROAD, EXETER, EX4 1EX",,,4,STAFFORD ROAD,,EXETER
"5 STAFFORD ROAD, EXETER, EX4 1EX",,,5,STAFFORD ROAD,,EXETER
"6 STAFFORD ROAD, EXETER, EX4 1EX",,,6,STAFFORD ROAD,,EXETER
"7 STAFFORD ROAD, EXETER, EX4 1EX",,,7,STAFFORD ROAD,,EXETER
"8 STAFFORD ROAD, EXETER, EX4 1EX",,,8,STAFFORD ROAD,,EXETER
"9 STAFFORD ROAD, EXETER, EX4 1EX",,,9,STAFFORD ROAD,,EXETER
"10 STAFFORD ROAD, EXETER, EX4 1EX",,,10,STAFFORD ROAD,,EXETER
"11 STAFFORD ROAD, EXETER, EX4 1EX",,,11,STAFFORD ROAD,,EXETER
"12 STAFFORD ROAD, EXETER, EX4 1EX",,,12,STAFFORD ROAD,,EXETER
"13 STAFFORD ROAD, EXETER, EX4 1EX",,,13,STAFFORD ROAD,,EXETER
"14 STAFFORD ROAD, EXETER, EX4 1EX",,,14,STAFFORD ROAD,,EXETER
"15 STAFFORD ROAD, EXETER, EX4 1EX",,,15,STAFFORD ROAD,,EXETER
"16 STAFFORD ROAD, EXETER, EX4 1EX",,,16,STAFFORD ROAD,,EXETER
"17 STAFFORD ROAD, EXETER, EX4 1EX",,,17,STAFFORD ROAD,,EXETER
"18 STAFFORD ROAD, EXETER, EX4 1EX",,,18,STAFFORD ROAD,,EXETER
"19 STAFFORD ROAD, EXETER, EX4 1EX",,,19,STAFFORD ROAD,,EXETER
"20 STAFFORD ROAD, EXETER, EX4 1EX",,,20,STAFFORD ROAD,,EXETER
"21 STAFFORD ROAD, EXETER, EX4 1EX",,,21,STAFFORD ROAD,,EXETER
"22 STAFFORD ROAD, EXETER, EX4 1EX",,,22,STAFFORD ROAD,,EXETER
"23 STAFFORD ROAD, EXETER, EX4 1EX",,,23,STAFFORD ROAD,,EXETER
"24 STAFFORD ROAD, EXETER, EX4 1EX",,,24,STAFFORD ROAD,,EXETER
"26 STAFFORD ROAD, EXETER, EX4 1EX",,,26,STAFFORD ROAD,,EXETER
"28 STAFFORD ROAD, EXETER, EX4 1EX",,,28,STAFFORD ROAD,,EXETER
"30 STAFFORD ROAD, EXETER, EX4 1EX",,,30,STAFFORD ROAD,,EXETER
"32 STAFFORD ROAD, EXETER, EX4 1EX",,,32,STAFFORD ROAD,,EXETER
"34 STAFFORD ROAD, EXETER, EX4 1EX",,,34,STAFFORD ROAD,,EXETER
"13 TRURO DRIVE, EXETER, EX4 2DY",,,13,TRURO DRIVE,,EXETER
"20 TRURO DRIVE, EXETER, EX4 2DY",,,20,TRURO DRIVE,,EXETER
"1 VALLEY ROAD, EXETER, EX4 2AX",,,1,VALLEY ROAD,,EXETER
"2 VALLEY ROAD, EXETER, EX4 2AX",,,2,VALLEY ROAD,,EXETER
"7A WARDREW ROAD, EXETER, EX4 1HB",,,7A,WARDREW ROAD,,EXETER
"11 WARDREW ROAD, EXETER, EX4 1HB",,,11,WARDREW ROAD,,EXETER
"13 WARDREW ROAD, EXETER, EX4 1HB",,,13,WARDREW ROAD,,EXETER
"15 WARDREW ROAD, EXETER, EX4 1HB",,,15,WARDREW ROAD,,EXETER
"16 WARDREW ROAD, EXETER, EX4 1HB",,,16,WARDREW ROAD,,EXETER
"17 WARDREW ROAD, EXETER, EX4 1HB",,,17,WARDREW ROAD,,EXETER
"18 WARDREW ROAD, EXETER, EX4 1HB",,,18,WARDREW ROAD,,EXETER
"19 WARDREW ROAD, EXETER, EX4 1HB",,,19,WARDREW ROAD,,EXETER
"20 WARDREW ROAD, EXETER, EX4 1HB",,,20,WARDREW ROAD,,EXETER
"21 WARDREW ROAD, EXETER, EX4 1HB",,,21,WARDREW ROAD,,EXETER
"22 WARDREW ROAD, EXETER, EX4 1HB",,,22,WARDREW ROAD,,EXETER
"23 WARDREW ROAD, EXETER, EX4 1HB",,,23,WARDREW ROAD,,EXETER
"24 WARDREW ROAD, EXETER, EX4 1HB",,,24,WARDREW ROAD,,EXETER
"25 WARDREW ROAD, EXETER, EX4 1HB",,,25,WARDREW ROAD,,EXETER
"26 WARDREW ROAD, EXETER, EX4 1HB",,,26,WARDREW ROAD,,EXETER
"27 WARDREW ROAD, EXETER, EX4 1HB",,,27,WARDREW ROAD,,EXETER
"28 WARDREW ROAD, EXETER, EX4 1HB",,,28,WARDREW ROAD,,EXETER
"29 WARDREW ROAD, EXETER, EX4 1HB",,,29,WARDREW ROAD,,EXETER
"30 WARDREW ROAD, EXETER, EX4 1HB",,,30,WARDREW ROAD,,EXETER
"31 WARDREW ROAD, EXETER, EX4 1HA",,,31,WARDREW ROAD,,EXETER
"32 WARDREW ROAD, EXETER, EX4 1HB",,,32,WARDREW ROAD,,EXETER
"33 WARDREW ROAD, EXETER, EX4 1HA",,,33,WARDREW ROAD,,EXETER
"34 WARDREW ROAD, EXETER, EX4 1HB",,,34,WARDREW ROAD,,EXETER
"35 WARDREW ROAD, EXETER, EX4 1HA",,,35,WARDREW ROAD,,EXETER
"36 WARDREW ROAD, EXETER, EX4 1HA",,,36,WARDREW ROAD,,EXETER
"37 WARDREW ROAD, EXETER, EX4 1HA",,,37,WARDREW ROAD,,EXETER
"38 WARDREW ROAD, EXETER, EX4 1HA",,,38,WARDREW ROAD,,EXETER
"39 WARDREW ROAD, EXETER, EX4 1HA",,,39,WARDREW ROAD,,EXETER
"40 WARDREW ROAD, EXETER, EX4 1HA",,,40,WARDREW ROAD,,EXETER
"41 WARDREW ROAD, EXETER, EX4 1HA",,,41,WARDREW ROAD,,EXETER
"42 WARDREW ROAD, EXETER, EX4 1HA",,,42,WARDREW ROAD,,EXETER
"43 WARDREW ROAD, EXETER, EX4 1HA",,,43,WARDREW ROAD,,EXETER
"44 WARDREW ROAD, EXETER, EX4 1HA",,,44,WARDREW ROAD,,EXETER
"45 WARDREW ROAD, EXETER, EX4 1HA",,,45,WARDREW ROAD,,EXETER
"46 WARDREW ROAD, EXETER, EX4 1HA",,,46,WARDREW ROAD,,EXETER
"47 WARDREW ROAD, EXETER, EX4 1HA",,,47,WARDREW ROAD,,EXETER
"48 WARDREW ROAD, EXETER, EX4 1HA",,,48,WARDREW ROAD,,EXETER
"49 WARDREW ROAD, EXETER, EX4 1HA",,,49,WARDREW ROAD,,EXETER
"50 WARDREW ROAD, EXETER, EX4 1HA",,,50,WARDREW ROAD,,EXETER
"51 WARDREW ROAD, EXETER, EX4 1HA",,,51,WARDREW ROAD,,EXETER
"52 WARDREW ROAD, EXETER, EX4 1HA",,,52,WARDREW ROAD,,EXETER
"53 WARDREW ROAD, EXETER, EX4 1HA",,,53,WARDREW ROAD,,EXETER
"54 WARDREW ROAD, EXETER, EX4 1HA",,,54,WARDREW ROAD,,EXETER
"55 WARDREW ROAD, EXETER, EX4 1HA",,,55,WARDREW ROAD,,EXETER
"56 WARDREW ROAD, EXETER, EX4 1HA",,,56,WARDREW ROAD,,EXETER
"57 WARDREW ROAD, EXETER, EX4 1HA",,,57,WARDREW ROAD,,EXETER
"58 WARDREW ROAD, EXETER, EX4 1HA",,,58,WARDREW ROAD,,EXETER
"59 WARDREW ROAD, EXETER, EX4 1HA",,,59,WARDREW ROAD,,EXETER
"60 WARDREW ROAD, EXETER, EX4 1HA",,,60,WARDREW ROAD,,EXETER
"61 WARDREW ROAD, EXETER, EX4 1HA",,,61,WARDREW ROAD,,EXETER
"62 WARDREW ROAD, EXETER, EX4 1HA",,,62,WARDREW ROAD,,EXETER
"63 WARDREW ROAD, EXETER, EX4 1HA",,,63,WARDREW ROAD,,EXETER
"64 WARDREW ROAD, EXETER, EX4 1HA",,,64,WARDREW ROAD,,EXETER
"65 WARDREW ROAD, EXETER, EX4 1HA",,,65,WARDREW ROAD,,EXETER
"66 WARDREW ROAD, EXETER, EX4 1HA",,,66,WARDREW ROAD,,EXETER
"67 WARDREW ROAD, EXETER, EX4 1HA",,,67,WARDREW ROAD,,EXETER
"THE WILDFLOWERS, 68 WARDREW ROAD, EXETER, EX4 1HA",,THE WILDFLOWERS,68,WARDREW ROAD,,EXETER
"69 WARDREW ROAD, EXETER, EX4 1HA",,,69,WARDREW ROAD,,EXETER
"70 WARDREW ROAD, EXETER, EX4 1HA",,,70,WARDREW ROAD,,EXETER
"71 WARDREW ROAD, EXETER, EX4 1HA",,,71,WARDREW ROAD,,EXETER
"72 WARDREW ROAD, EXETER, EX4 1HA",,,72,WARDREW ROAD,,EXETER
"73 WARDREW ROAD, EXETER, EX4 1HA",,,73,WARDREW ROAD,,EXETER
"74 WARDREW ROAD, EXETER, EX4 1HA",,,74,WARDREW ROAD,,EXETER
"75 WARDREW ROAD, EXETER, EX4 1HA",,,75,WARDREW ROAD,,EXETER
"76 WARDREW ROAD, EXETER, EX4 1HA",,,76,WARDREW ROAD,,EXETER
"77 WARDREW ROAD, EXETER, EX4 1HA",,,77,WARDREW ROAD,,EXETER
"78 WARDREW ROAD, EXETER, EX4 1HA",,,78,WARDREW ROAD,,EXETER
"79 WARDREW ROAD, EXETER, EX4 1EZ",,,79,WARDREW ROAD,,EXETER
"80 WARDREW ROAD, EXETER, EX4 1HA",,,80,WARDREW ROAD,,EXETER
"81 WARDREW ROAD, EXETER, EX4 1EZ",,,81,WARDREW ROAD,,EXETER
"82 WARDREW ROAD, EXETER, EX4 1EZ",,,82,WARDREW ROAD,,EXETER
"83 WARDREW ROAD, EXETER, EX4 1EZ",,,83,WARDREW ROAD,,EXETER
"84 WARDREW ROAD, EXETER, EX4 1EZ",,,84,WARDREW ROAD,,EXETER
"85 WARDREW ROAD, EXETER, EX4 1EZ",,,85,WARDREW ROAD,,EXETER
"86 WARDREW ROAD, EXETER, EX4 1EZ",,,86,WARDREW ROAD,,EXETER
"87 WARDREW ROAD, EXETER, EX4 1EZ",,,87,WARDREW ROAD,,EXETER
"88 WARDREW ROAD, EXETER, EX4 1EZ",,,88,WARDREW ROAD,,EXETER
